X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,0.029036390514609867,71.56337645101964,0.5930487981399012
2.0,2.0,train,0.004103361244094226,9.321339205871322,0.1707728190113331
3.0,3.0,train,0.022290946720089466,44.04835775264166,0.5280241333573712
4.0,4.0,train,0.04378628299043349,84.16295985675839,0.6872629246953301
5.0,5.0,train,0.020691954299218215,37.49663914075409,0.5094434917849062
6.0,6.0,train,0.02010956067495185,35.4275446197185,0.5023072020201149
7.0,7.0,train,0.06193632166167198,100.0,0.7566021678398155
8.0,8.0,train,0.051919364919917325,93.80634323963616,0.7226661525545917
9.0,9.0,train,0.04451392277911534,88.61444731225457,0.6907943393218383
10.0,10.0,train,0.039361342464224285,75.49986556969836,0.6639211740282768
11.0,11.0,train,0.0428459740669882,79.78437887918054,0.6825781116447305
12.0,12.0,train,0.02888852745912168,65.76689822274805,0.591816081186964
13.0,13.0,train,0.006792900330701722,14.014175342101415,0.2542469477860442
14.0,14.0,train,0.027808991322791434,59.99162331031886,0.5825846952049015
15.0,15.0,train,0.026824831949604912,54.525133952817534,0.5737973969839433
16.0,16.0,train,0.02621346020180143,49.21057747231114,0.568149848002868
17.0,17.0,train,0.018792881844930855,31.53414446868651,0.48538208919356424
18.0,18.0,train,0.025410416588671225,46.58941550099339,0.5605002913266087
