X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,0.007156548810465083,15.14427185014722,0.28148691292898376
2.0,2.0,train,0.007156548810465083,15.14427185014722,0.28148691292898376
3.0,3.0,train,0.03971391181177201,79.07643960829053,0.6849416367425619
4.0,4.0,train,0.02036645402099381,45.46372127052426,0.5271640567090793
5.0,5.0,train,0.01780233035894186,37.39797658850592,0.4935512448455788
6.0,6.0,train,0.05397223554493538,89.205552891,0.7471262709777684
7.0,7.0,train,0.05397223554493538,89.205552891,0.7471262709777684
8.0,8.0,train,0.05397223554493538,89.205552891,0.7471262709777684
9.0,9.0,train,0.029828731902599288,65.44946026567955,0.6201880008386429
10.0,10.0,train,0.04731897077986206,83.80831115621535,0.7214741086297808
11.0,11.0,train,0.03315696483529086,71.78930456533259,0.6447697204094704
12.0,12.0,train,0.03315696483529086,71.78930456533259,0.6447697204094704
13.0,13.0,train,0.0203579900170527,43.437972818242855,0.5270604442774047
14.0,14.0,train,0.009923187675654184,21.183729061026614,0.3520018042131656
15.0,15.0,train,0.02281438720091463,52.273282947150086,0.5553387510171914
16.0,16.0,train,0.02281438720091463,52.273282947150086,0.5553387510171914
17.0,17.0,train,0.028047466086240962,59.661589332545326,0.6055805083638951
18.0,18.0,train,0.028047466086240962,59.661589332545326,0.6055805083638951
19.0,19.0,train,0.013295735806346997,32.79193168577625,0.4212406558827357
20.0,20.0,train,0.03024420062818287,68.47364882507269,0.6234408216816397
