X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,0.029622242842590515,53.834156588127975,0.5936320558904948
2.0,2.0,train,0.01994832761152212,32.23612820939276,0.495905206984204
3.0,3.0,train,0.02019602637246087,34.25554595615904,0.49899025680724807
4.0,4.0,train,0.01637204740758249,22.974149837975187,0.44671575069745556
5.0,5.0,train,0.05884605173053953,99.99996321496066,0.7437211186027707
6.0,6.0,train,0.0035297140618365612,7.26201597136293,0.14826073784672406
7.0,7.0,train,0.0379758450766908,75.99491665550494,0.6519054624473238
8.0,8.0,train,0.05112433267605318,94.11541972866434,0.716006056278142
9.0,9.0,train,0.0452207815189515,89.00289994081403,0.6904089564243973
10.0,10.0,train,0.04099576113499999,80.09437882071335,0.6690615882750742
11.0,11.0,train,0.043864518286231106,84.4809443756398,0.6838627759093184
12.0,12.0,train,0.03102701636957222,69.05689351730794,0.6047587957603031
13.0,13.0,train,0.005531327007419162,11.860277847229279,0.21431701324376193
14.0,14.0,train,0.030286455525494048,62.90332137242264,0.5989701141499625
15.0,15.0,train,0.03019633362964489,56.855881163298655,0.5982540721348051
16.0,16.0,train,0.02466455198498696,48.26609871627942,0.5488046664197875
17.0,17.0,train,0.02273678725603828,38.69040378880872,0.5285836376730498
18.0,18.0,train,0.026054665021117127,50.87164140102769,0.5623418917873204
